Louisiana, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,57.4,5.0
195102,53.0,0.6
195202,55.8,3.4
195302,52.4,0.0
195402,57.2,4.8
195502,52.8,0.4
195602,56.6,4.2
195702,59.6,7.2
195802,45.2,-7.2
195902,53.1,0.7
196002,46.4,-6.0
196102,54.6,2.2
196202,59.9,7.5
196302,46.9,-5.5
196402,47.2,-5.2
196502,50.4,-2.0
196602,49.1,-3.3
196702,48.8,-3.6
196802,44.6,-7.8
196902,50.9,-1.5
197002,49.6,-2.8
197102,51.5,-0.9
197202,52.6,0.2
197302,49.1,-3.3
197402,52.9,0.5
197502,53.9,1.5
197602,57.7,5.3
197702,51.0,-1.4
197802,42.2,-10.2
197902,47.8,-4.6
198002,48.2,-4.2
198102,50.6,-1.8
198202,49.5,-2.9
198302,50.6,-1.8
198402,52.4,0.0
198502,48.4,-4.0
198602,56.5,4.1
198702,53.4,1.0
198802,50.6,-1.8
198902,50.2,-2.2
199002,58.0,5.6
199102,54.2,1.8
199202,55.8,3.4
199302,51.8,-0.6
199402,53.0,0.6
199502,53.5,1.1
199602,52.9,0.5
199702,53.7,1.3
199802,53.2,0.8
199902,57.8,5.4
200002,57.7,5.3
200102,56.6,4.2
200202,49.3,-3.1
200302,50.7,-1.7
200402,49.1,-3.3
200502,55.3,2.9
200602,50.9,-1.5
200702,50.6,-1.8
200802,55.2,2.8
200902,55.6,3.2
201002,44.8,-7.6
201102,52.5,0.1
201202,56.1,3.7
201302,54.2,1.8
201402,50.2,-2.2
201502,47.5,-4.9
201602,55.1,2.7
201702,61.7,9.3
201802,60.5,8.1
201902,57.6,5.2
202002,54.0,1.6
202102,47.8,-4.6
