Louisiana, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,75.4,2.0
195105,73.5,0.1
195205,73.1,-0.3
195305,75.5,2.1
195405,69.4,-4.0
195505,75.7,2.3
195605,75.7,2.3
195705,74.7,1.3
195805,74.0,0.6
195905,75.5,2.1
196005,71.4,-2.0
196105,72.2,-1.2
196205,75.2,1.8
196305,75.0,1.6
196405,74.8,1.4
196505,74.6,1.2
196605,73.6,0.2
196705,71.8,-1.6
196805,72.8,-0.6
196905,72.8,-0.6
197005,72.6,-0.8
197105,70.9,-2.5
197205,72.7,-0.7
197305,71.9,-1.5
197405,75.3,1.9
197505,74.4,1.0
197605,69.6,-3.8
197705,75.0,1.6
197805,74.5,1.1
197905,71.6,-1.8
198005,73.7,0.3
198105,71.0,-2.4
198205,74.2,0.8
198305,71.6,-1.8
198405,73.0,-0.4
198505,73.8,0.4
198605,74.3,0.9
198705,75.6,2.2
198805,71.8,-1.6
198905,74.2,0.8
199005,73.6,0.2
199105,75.5,2.1
199205,71.5,-1.9
199305,71.1,-2.3
199405,72.0,-1.4
199505,75.0,1.6
199605,76.6,3.2
199705,72.2,-1.2
199805,76.8,3.4
199905,73.6,0.2
200005,76.6,3.2
200105,74.3,0.9
200205,73.9,0.5
200305,76.4,3.0
200405,73.9,0.5
200505,72.6,-0.8
200605,74.2,0.8
200705,73.9,0.5
200805,73.8,0.4
200905,74.3,0.9
201005,77.3,3.9
201105,73.7,0.3
201205,76.3,2.9
201305,71.7,-1.7
201405,71.8,-1.6
201505,74.8,1.4
201605,73.3,-0.1
201705,71.8,-1.6
201805,77.8,4.4
201905,76.0,2.6
202005,73.0,-0.4
202105,72.3,-1.1
