Louisiana, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,79.2,-0.6
195106,80.5,0.7
195206,81.9,2.1
195306,83.3,3.5
195406,80.8,1.0
195506,76.8,-3.0
195606,78.2,-1.6
195706,79.6,-0.2
195806,80.5,0.7
195906,79.1,-0.7
196006,80.5,0.7
196106,76.6,-3.2
196206,79.0,-0.8
196306,80.5,0.7
196406,79.8,0.0
196506,79.0,-0.8
196606,77.8,-2.0
196706,79.7,-0.1
196806,79.4,-0.4
196906,79.9,0.1
197006,78.5,-1.3
197106,80.2,0.4
197206,79.9,0.1
197306,79.3,-0.5
197406,77.2,-2.6
197506,78.9,-0.9
197606,76.9,-2.9
197706,81.4,1.6
197806,80.1,0.3
197906,78.8,-1.0
198006,81.1,1.3
198106,81.2,1.4
198206,80.0,0.2
198306,77.1,-2.7
198406,78.7,-1.1
198506,80.0,0.2
198606,80.3,0.5
198706,79.0,-0.8
198806,78.6,-1.2
198906,77.9,-1.9
199006,81.7,1.9
199106,80.0,0.2
199206,78.7,-1.1
199306,79.8,0.0
199406,80.3,0.5
199506,78.4,-1.4
199606,79.0,-0.8
199706,78.5,-1.3
199806,83.4,3.6
199906,79.8,0.0
200006,79.8,0.0
200106,78.3,-1.5
200206,79.0,-0.8
200306,79.6,-0.2
200406,79.2,-0.6
200506,80.2,0.4
200606,80.1,0.3
200706,80.1,0.3
200806,81.2,1.4
200906,81.6,1.8
201006,83.5,3.7
201106,83.8,4.0
201206,80.7,0.9
201306,80.9,1.1
201406,79.8,0.0
201506,80.5,0.7
201606,80.9,1.1
201706,78.5,-1.3
201806,82.1,2.3
201906,80.2,0.4
202006,79.7,-0.1
202106,80.4,0.6
