Maine, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,23.3,4.6
195112,18.1,-0.6
195212,22.8,4.1
195312,27.0,8.3
195412,21.2,2.5
195512,12.5,-6.2
195612,19.8,1.1
195712,25.3,6.6
195812,9.6,-9.1
195912,22.2,3.5
196012,17.0,-1.7
196112,22.0,3.3
196212,18.4,-0.3
196312,11.4,-7.3
196412,18.7,0.0
196512,20.1,1.4
196612,22.6,3.9
196712,20.4,1.7
196812,18.5,-0.2
196912,22.1,3.4
197012,12.0,-6.7
197112,17.1,-1.6
197212,15.3,-3.4
197312,26.5,7.8
197412,22.8,4.1
197512,16.0,-2.7
197612,12.2,-6.5
197712,18.5,-0.2
197812,18.9,0.2
197912,22.7,4.0
198012,12.1,-6.6
198112,23.8,5.1
198212,25.3,6.6
198312,18.4,-0.3
198412,23.0,4.3
198512,15.4,-3.3
198612,20.3,1.6
198712,22.6,3.9
198812,17.2,-1.5
198912,5.0,-13.7
199012,24.8,6.1
199112,17.8,-0.9
199212,22.5,3.8
199312,22.1,3.4
199412,24.0,5.3
199512,17.0,-1.7
199612,28.2,9.5
199712,20.8,2.1
199812,26.2,7.5
199912,25.2,6.5
200012,17.5,-1.2
200112,28.7,10.0
200212,21.1,2.4
200312,23.0,4.3
200412,19.1,0.4
200512,21.3,2.6
200612,27.8,9.1
200712,18.0,-0.7
200812,20.2,1.5
200912,21.9,3.2
201012,23.4,4.7
201112,26.0,7.3
201212,24.4,5.7
201312,17.0,-1.7
201412,26.0,7.3
201512,31.2,12.5
201612,20.5,1.8
201712,16.4,-2.3
201812,20.4,1.7
201912,22.8,4.1
202012,27.2,8.5
202112,24.3,5.6
