Maryland, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,35.1,1.3
195102,35.6,1.8
195202,37.3,3.5
195302,38.9,5.1
195402,40.1,6.3
195502,34.2,0.4
195602,37.8,4.0
195702,38.0,4.2
195802,28.0,-5.8
195902,34.9,1.1
196002,35.0,1.2
196102,35.8,2.0
196202,32.0,-1.8
196302,27.4,-6.4
196402,32.3,-1.5
196502,34.2,0.4
196602,32.7,-1.1
196702,30.4,-3.4
196802,29.7,-4.1
196902,32.5,-1.3
197002,33.2,-0.6
197102,35.0,1.2
197202,32.2,-1.6
197302,32.8,-1.0
197402,33.8,0.0
197502,36.1,2.3
197602,42.2,8.4
197702,34.1,0.3
197802,24.4,-9.4
197902,23.3,-10.5
198002,29.9,-3.9
198102,37.4,3.6
198202,34.6,0.8
198302,34.4,0.6
198402,39.7,5.9
198502,34.8,1.0
198602,32.6,-1.2
198702,32.7,-1.1
198802,34.8,1.0
198902,35.0,1.2
199002,41.9,8.1
199102,39.6,5.8
199202,37.5,3.7
199302,31.4,-2.4
199402,32.8,-1.0
199502,31.7,-2.1
199602,34.1,0.3
199702,40.0,6.2
199802,40.5,6.7
199902,37.5,3.7
200002,38.7,4.9
200102,38.0,4.2
200202,39.8,6.0
200302,31.0,-2.8
200402,34.5,0.7
200502,36.5,2.7
200602,36.1,2.3
200702,28.3,-5.5
200802,37.2,3.4
200902,37.2,3.4
201002,30.8,-3.0
201102,37.6,3.8
201202,40.5,6.7
201302,34.5,0.7
201402,32.8,-1.0
201502,25.3,-8.5
201602,36.9,3.1
201702,43.7,9.9
201802,41.6,7.8
201902,37.6,3.8
202002,41.0,7.2
202102,34.2,0.4
