Massachusetts, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,29.5,-4.7
195103,35.6,1.4
195203,33.6,-0.6
195303,36.6,2.4
195403,35.3,1.1
195503,33.9,-0.3
195603,29.2,-5.0
195703,35.7,1.5
195803,35.7,1.5
195903,33.1,-1.1
196003,27.8,-6.4
196103,33.8,-0.4
196203,34.5,0.3
196303,34.7,0.5
196403,35.4,1.2
196503,32.8,-1.4
196603,35.5,1.3
196703,29.7,-4.5
196803,36.0,1.8
196903,32.0,-2.2
197003,32.2,-2.0
197103,32.8,-1.4
197203,31.9,-2.3
197303,40.0,5.8
197403,34.8,0.6
197503,32.4,-1.8
197603,36.2,2.0
197703,39.6,5.4
197803,31.0,-3.2
197903,38.4,4.2
198003,33.5,-0.7
198103,35.2,1.0
198203,33.5,-0.7
198303,37.3,3.1
198403,29.6,-4.6
198503,37.0,2.8
198603,36.6,2.4
198703,36.1,1.9
198803,35.3,1.1
198903,34.1,-0.1
199003,36.9,2.7
199103,38.2,4.0
199203,32.1,-2.1
199303,31.8,-2.4
199403,34.0,-0.2
199503,37.5,3.3
199603,31.8,-2.4
199703,33.7,-0.5
199803,37.9,3.7
199903,36.4,2.2
200003,40.6,6.4
200103,32.5,-1.7
200203,37.1,2.9
200303,34.5,0.3
200403,36.6,2.4
200503,31.2,-3.0
200603,35.4,1.2
200703,34.0,-0.2
200803,34.6,0.4
200903,35.3,1.1
201003,41.4,7.2
201103,35.4,1.2
201203,44.1,9.9
201303,34.9,0.7
201403,29.1,-5.1
201503,29.3,-4.9
201603,41.0,6.8
201703,31.5,-2.7
201803,34.8,0.6
201903,33.7,-0.5
202003,40.2,6.0
202103,38.3,4.1
