Arizona, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,66.7,5.7
195110,61.0,0.0
195210,65.7,4.7
195310,60.9,-0.1
195410,63.6,2.6
195510,64.4,3.4
195610,61.0,0.0
195710,59.1,-1.9
195810,62.8,1.8
195910,61.5,0.5
196010,59.7,-1.3
196110,59.6,-1.4
196210,62.1,1.1
196310,64.6,3.6
196410,64.8,3.8
196510,63.3,2.3
196610,60.4,-0.6
196710,62.8,1.8
196810,61.7,0.7
196910,57.8,-3.2
197010,57.1,-3.9
197110,56.3,-4.7
197210,59.3,-1.7
197310,61.6,0.6
197410,61.8,0.8
197510,60.3,-0.7
197610,58.5,-2.5
197710,63.7,2.7
197810,64.6,3.6
197910,63.8,2.8
198010,60.8,-0.2
198110,59.1,-1.9
198210,58.2,-2.8
198310,61.5,0.5
198410,56.5,-4.5
198510,60.7,-0.3
198610,58.6,-2.4
198710,64.8,3.8
198810,66.2,5.2
198910,61.1,0.1
199010,62.0,1.0
199110,64.1,3.1
199210,63.8,2.8
199310,61.0,0.0
199410,59.6,-1.4
199510,63.1,2.1
199610,60.8,-0.2
199710,60.2,-0.8
199810,60.5,-0.5
199910,64.2,3.2
200010,60.2,-0.8
200110,64.7,3.7
200210,60.0,-1.0
200310,67.3,6.3
200410,60.0,-1.0
200510,62.8,1.8
200610,60.2,-0.8
200710,62.4,1.4
200810,62.9,1.9
200910,59.4,-1.6
201010,62.7,1.7
201110,62.8,1.8
201210,63.8,2.8
201310,58.8,-2.2
201410,64.9,3.9
201510,64.5,3.5
201610,66.1,5.1
201710,65.1,4.1
201810,59.9,-1.1
201910,60.0,-1.0
202010,66.2,5.2
202110,60.0,-1.0
