Michigan, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,19.3,0.2
195102,20.7,1.6
195202,23.1,4.0
195302,23.7,4.6
195402,28.1,9.0
195502,20.2,1.1
195602,20.4,1.3
195702,22.6,3.5
195802,15.9,-3.2
195902,16.0,-3.1
196002,20.6,1.5
196102,24.1,5.0
196202,15.2,-3.9
196302,11.4,-7.7
196402,21.9,2.8
196502,18.2,-0.9
196602,21.6,2.5
196702,14.7,-4.4
196802,16.7,-2.4
196902,21.4,2.3
197002,17.9,-1.2
197102,19.8,0.7
197202,16.9,-2.2
197302,19.7,0.6
197402,16.5,-2.6
197502,22.0,2.9
197602,26.1,7.0
197702,19.2,0.1
197802,12.6,-6.5
197902,10.6,-8.5
198002,17.2,-1.9
198102,23.8,4.7
198202,17.2,-1.9
198302,26.6,7.5
198402,29.0,9.9
198502,18.0,-1.1
198602,19.4,0.3
198702,25.8,6.7
198802,17.0,-2.1
198902,16.3,-2.8
199002,23.7,4.6
199102,25.2,6.1
199202,25.1,6.0
199302,17.9,-1.2
199402,14.2,-4.9
199502,19.1,0.0
199602,19.0,-0.1
199702,23.5,4.4
199802,32.0,12.9
199902,27.3,8.2
200002,26.5,7.4
200102,22.1,3.0
200202,27.4,8.3
200302,16.3,-2.8
200402,22.6,3.5
200502,25.2,6.1
200602,22.5,3.4
200702,15.2,-3.9
200802,18.2,-0.9
200902,22.9,3.8
201002,23.1,4.0
201102,21.3,2.2
201202,28.4,9.3
201302,20.9,1.8
201402,12.7,-6.4
201502,8.0,-11.1
201602,25.3,6.2
201702,29.9,10.8
201802,23.0,3.9
201902,19.9,0.8
202002,23.7,4.6
202102,17.4,-1.7
