Mississippi, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,57.9,12.8
195101,47.0,1.9
195201,53.3,8.2
195301,49.7,4.6
195401,47.2,2.1
195501,44.4,-0.7
195601,42.8,-2.3
195701,47.4,2.3
195801,40.4,-4.7
195901,42.5,-2.6
196001,43.9,-1.2
196101,39.4,-5.7
196201,41.2,-3.9
196301,38.6,-6.5
196401,42.8,-2.3
196501,47.2,2.1
196601,39.7,-5.4
196701,45.2,0.1
196801,42.3,-2.8
196901,44.8,-0.3
197001,38.9,-6.2
197101,45.4,0.3
197201,48.6,3.5
197301,42.6,-2.5
197401,51.5,6.4
197501,49.1,4.0
197601,41.8,-3.3
197701,33.5,-11.6
197801,35.4,-9.7
197901,36.8,-8.3
198001,46.7,1.6
198101,40.5,-4.6
198201,43.9,-1.2
198301,42.7,-2.4
198401,38.9,-6.2
198501,36.9,-8.2
198601,44.2,-0.9
198701,42.9,-2.2
198801,40.1,-5.0
198901,50.7,5.6
199001,50.0,4.9
199101,44.6,-0.5
199201,44.3,-0.8
199301,47.7,2.6
199401,41.2,-3.9
199501,46.2,1.1
199601,44.4,-0.7
199701,45.0,-0.1
199801,48.7,3.6
199901,49.8,4.7
200001,47.3,2.2
200101,40.9,-4.2
200201,47.5,2.4
200301,40.5,-4.6
200401,45.3,0.2
200501,50.1,5.0
200601,51.5,6.4
200701,46.2,1.1
200801,43.5,-1.6
200901,45.1,0.0
201001,40.6,-4.5
201101,42.2,-2.9
201201,50.8,5.7
201301,49.1,4.0
201401,38.5,-6.6
201501,43.8,-1.3
201601,43.7,-1.4
201701,52.9,7.8
201801,40.1,-5.0
201901,46.3,1.2
202001,50.1,5.0
202101,46.8,1.7
