Mississippi, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,60.1,-3.5
195104,61.4,-2.2
195204,61.0,-2.6
195304,61.6,-2.0
195404,68.1,4.5
195504,67.0,3.4
195604,62.3,-1.3
195704,65.4,1.8
195804,63.6,0.0
195904,62.7,-0.9
196004,65.2,1.6
196104,60.0,-3.6
196204,61.4,-2.2
196304,67.2,3.6
196404,66.3,2.7
196504,67.7,4.1
196604,64.1,0.5
196704,68.7,5.1
196804,64.6,1.0
196904,64.4,0.8
197004,66.5,2.9
197104,62.1,-1.5
197204,64.4,0.8
197304,60.9,-2.7
197404,62.4,-1.2
197504,61.6,-2.0
197604,63.6,0.0
197704,65.1,1.5
197804,64.8,1.2
197904,64.4,0.8
198004,60.8,-2.8
198104,68.8,5.2
198204,61.4,-2.2
198304,58.2,-5.4
198404,62.1,-1.5
198504,64.7,1.1
198604,64.0,0.4
198704,61.1,-2.5
198804,63.8,0.2
198904,61.9,-1.7
199004,62.2,-1.4
199104,66.1,2.5
199204,62.6,-1.0
199304,59.1,-4.5
199404,65.6,2.0
199504,64.0,0.4
199604,60.8,-2.8
199704,59.2,-4.4
199804,62.2,-1.4
199904,68.0,4.4
200004,61.3,-2.3
200104,66.8,3.2
200204,66.7,3.1
200304,64.3,0.7
200404,62.3,-1.3
200504,62.8,-0.8
200604,68.4,4.8
200704,61.0,-2.6
200804,63.0,-0.6
200904,62.8,-0.8
201004,65.1,1.5
201104,67.0,3.4
201204,65.8,2.2
201304,62.1,-1.5
201404,62.7,-0.9
201504,67.0,3.4
201604,65.2,1.6
201704,67.3,3.7
201804,58.9,-4.7
201904,63.1,-0.5
202004,62.9,-0.7
202104,62.1,-1.5
