Nebraska, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,28.2,1.5
195102,29.7,3.0
195202,31.0,4.3
195302,29.1,2.4
195402,40.2,13.5
195502,20.0,-6.7
195602,23.5,-3.2
195702,31.1,4.4
195802,22.9,-3.8
195902,22.8,-3.9
196002,18.2,-8.5
196102,31.5,4.8
196202,25.7,-1.0
196302,30.5,3.8
196402,26.4,-0.3
196502,23.5,-3.2
196602,22.5,-4.2
196702,28.4,1.7
196802,27.4,0.7
196902,25.4,-1.3
197002,31.8,5.1
197102,24.3,-2.4
197202,28.0,1.3
197302,28.8,2.1
197402,31.8,5.1
197502,22.0,-4.7
197602,35.8,9.1
197702,33.0,6.3
197802,15.4,-11.3
197902,17.3,-9.4
198002,24.4,-2.3
198102,29.8,3.1
198202,25.5,-1.2
198302,32.6,5.9
198402,33.0,6.3
198502,23.2,-3.5
198602,26.6,-0.1
198702,35.4,8.7
198802,25.5,-1.2
198902,17.2,-9.5
199002,29.8,3.1
199102,36.4,9.7
199202,36.8,10.1
199302,19.1,-7.6
199402,21.0,-5.7
199502,33.5,6.8
199602,29.8,3.1
199702,29.4,2.7
199802,35.2,8.5
199902,37.0,10.3
200002,35.0,8.3
200102,22.0,-4.7
200202,31.8,5.1
200302,25.0,-1.7
200402,26.3,-0.4
200502,34.4,7.7
200602,28.1,1.4
200702,23.1,-3.6
200802,26.2,-0.5
200902,31.8,5.1
201002,23.0,-3.7
201102,24.5,-2.2
201202,29.3,2.6
201302,28.8,2.1
201402,20.8,-5.9
201502,26.1,-0.6
201602,35.0,8.3
201702,35.4,8.7
201802,21.7,-5.0
201902,17.2,-9.5
202002,29.6,2.9
202102,16.5,-10.2
