New Hampshire, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,62.7,1.2
195106,60.2,-1.3
195206,63.3,1.8
195306,63.1,1.6
195406,61.9,0.4
195506,62.0,0.5
195606,62.3,0.8
195706,64.5,3.0
195806,56.6,-4.9
195906,60.7,-0.8
196006,61.8,0.3
196106,61.7,0.2
196206,62.5,1.0
196306,62.8,1.3
196406,61.2,-0.3
196506,60.6,-0.9
196606,62.2,0.7
196706,64.4,2.9
196806,59.9,-1.6
196906,62.4,0.9
197006,61.7,0.2
197106,62.4,0.9
197206,60.8,-0.7
197306,63.5,2.0
197406,61.5,0.0
197506,61.9,0.4
197606,66.4,4.9
197706,60.2,-1.3
197806,61.6,0.1
197906,61.9,0.4
198006,59.1,-2.4
198106,62.6,1.1
198206,58.5,-3.0
198306,63.4,1.9
198406,63.1,1.6
198506,58.9,-2.6
198606,59.1,-2.4
198706,62.1,0.6
198806,60.5,-1.0
198906,62.4,0.9
199006,62.5,1.0
199106,62.7,1.2
199206,60.9,-0.6
199306,61.4,-0.1
199406,65.0,3.5
199506,63.9,2.4
199606,63.2,1.7
199706,62.8,1.3
199806,61.4,-0.1
199906,66.0,4.5
200006,61.6,0.1
200106,64.2,2.7
200206,60.6,-0.9
200306,62.5,1.0
200406,60.0,-1.5
200506,66.0,4.5
200606,63.8,2.3
200706,62.5,1.0
200806,63.9,2.4
200906,60.2,-1.3
201006,63.0,1.5
201106,62.1,0.6
201206,62.1,0.6
201306,63.2,1.7
201406,62.8,1.3
201506,60.2,-1.3
201606,62.6,1.1
201706,62.6,1.1
201806,61.4,-0.1
201906,61.6,0.1
202006,64.0,2.5
202106,66.1,4.6
