New Jersey, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,30.3,-0.3
195102,33.5,2.9
195202,34.0,3.4
195302,36.0,5.4
195402,37.7,7.1
195502,31.6,1.0
195602,34.5,3.9
195702,34.9,4.3
195802,25.3,-5.3
195902,30.4,-0.2
196002,34.2,3.6
196102,32.6,2.0
196202,28.8,-1.8
196302,25.0,-5.6
196402,29.3,-1.3
196502,30.8,0.2
196602,30.3,-0.3
196702,27.4,-3.2
196802,27.2,-3.4
196902,30.0,-0.6
197002,30.9,0.3
197102,32.1,1.5
197202,29.1,-1.5
197302,30.5,-0.1
197402,29.9,-0.7
197502,33.5,2.9
197602,37.7,7.1
197702,31.5,0.9
197802,22.5,-8.1
197902,21.2,-9.4
198002,28.0,-2.6
198102,36.1,5.5
198202,32.6,2.0
198302,32.6,2.0
198402,37.6,7.0
198502,33.1,2.5
198602,29.6,-1.0
198702,30.0,-0.6
198802,32.3,1.7
198902,32.4,1.8
199002,38.3,7.7
199102,37.3,6.7
199202,34.6,4.0
199302,28.4,-2.2
199402,28.4,-2.2
199502,28.8,-1.8
199602,32.0,1.4
199702,38.0,7.4
199802,39.1,8.5
199902,35.4,4.8
200002,35.3,4.7
200102,35.0,4.4
200202,38.4,7.8
200302,28.2,-2.4
200402,33.1,2.5
200502,34.2,3.6
200602,34.2,3.6
200702,27.1,-3.5
200802,35.2,4.6
200902,35.1,4.5
201002,31.1,0.5
201102,34.4,3.8
201202,38.9,8.3
201302,32.8,2.2
201402,29.5,-1.1
201502,22.3,-8.3
201602,36.0,5.4
201702,40.4,9.8
201802,39.4,8.8
201902,34.7,4.1
202002,39.1,8.5
202102,32.1,1.5
