New Jersey, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,61.7,-3.3
195109,64.7,-0.3
195209,65.1,0.1
195309,66.1,1.1
195409,65.1,0.1
195509,64.6,-0.4
195609,62.6,-2.4
195709,66.7,1.7
195809,64.2,-0.8
195909,68.1,3.1
196009,65.1,0.1
196109,70.8,5.8
196209,61.4,-3.6
196309,61.0,-4.0
196409,65.3,0.3
196509,66.5,1.5
196609,63.2,-1.8
196709,62.7,-2.3
196809,66.4,1.4
196909,65.2,0.2
197009,67.8,2.8
197109,67.9,2.9
197209,65.9,0.9
197309,66.5,1.5
197409,64.4,-0.6
197509,62.2,-2.8
197609,63.7,-1.3
197709,66.6,1.6
197809,63.4,-1.6
197909,65.2,0.2
198009,68.2,3.2
198109,64.4,-0.6
198209,64.4,-0.6
198309,66.7,1.7
198409,62.6,-2.4
198509,66.7,1.7
198609,64.5,-0.5
198709,65.4,0.4
198809,63.4,-1.6
198909,66.0,1.0
199009,63.9,-1.1
199109,64.8,-0.2
199209,64.8,-0.2
199309,65.1,0.1
199409,64.2,-0.8
199509,65.5,0.5
199609,66.2,1.2
199709,64.4,-0.6
199809,68.2,3.2
199909,67.2,2.2
200009,64.4,-0.6
200109,64.8,-0.2
200209,67.8,2.8
200309,66.9,1.9
200409,67.6,2.6
200509,70.2,5.2
200609,64.3,-0.7
200709,68.0,3.0
200809,67.4,2.4
200909,64.7,-0.3
201009,69.2,4.2
201109,68.9,3.9
201209,67.0,2.0
201309,64.4,-0.6
201409,66.9,1.9
201509,70.7,5.7
201609,69.7,4.7
201709,68.2,3.2
201809,70.2,5.2
201909,69.0,4.0
202009,66.8,1.8
202109,68.7,3.7
