New York, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195012,23.0,-1.5
195112,25.9,1.4
195212,28.2,3.7
195312,30.8,6.3
195412,24.2,-0.3
195512,18.8,-5.7
195612,29.0,4.5
195712,30.2,5.7
195812,16.2,-8.3
195912,27.3,2.8
196012,19.6,-4.9
196112,25.2,0.7
196212,21.2,-3.3
196312,17.2,-7.3
196412,25.7,1.2
196512,28.7,4.2
196612,25.4,0.9
196712,27.0,2.5
196812,21.4,-3.1
196912,20.7,-3.8
197012,21.8,-2.7
197112,28.1,3.6
197212,26.7,2.2
197312,26.6,2.1
197412,27.8,3.3
197512,23.6,-0.9
197612,18.3,-6.2
197712,23.2,-1.3
197812,25.7,1.2
197912,29.0,4.5
198012,19.0,-5.5
198112,25.4,0.9
198212,32.2,7.7
198312,21.9,-2.6
198412,31.6,7.1
198512,21.8,-2.7
198612,28.2,3.7
198712,29.2,4.7
198812,24.4,-0.1
198912,11.1,-13.4
199012,30.8,6.3
199112,27.5,3.0
199212,27.0,2.5
199312,24.5,0.0
199412,30.1,5.6
199512,20.8,-3.7
199612,31.9,7.4
199712,27.8,3.3
199812,32.8,8.3
199912,28.6,4.1
200012,19.4,-5.1
200112,33.4,8.9
200212,24.8,0.3
200312,27.5,3.0
200412,26.0,1.5
200512,23.8,-0.7
200612,34.4,9.9
200712,25.9,1.4
200812,26.5,2.0
200912,25.2,0.7
201012,23.1,-1.4
201112,31.8,7.3
201212,31.6,7.1
201312,25.4,0.9
201412,30.2,5.7
201512,39.3,14.8
201612,27.6,3.1
201712,22.6,-1.9
201812,28.5,4.0
201912,27.3,2.8
202012,29.8,5.3
202112,32.7,8.2
