New York, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,63.0,-0.4
195106,62.9,-0.5
195206,65.0,1.6
195306,64.7,1.3
195406,65.0,1.6
195506,63.7,0.3
195606,64.0,0.6
195706,67.0,3.6
195806,58.8,-4.6
195906,64.3,0.9
196006,63.1,-0.3
196106,63.0,-0.4
196206,64.2,0.8
196306,64.0,0.6
196406,62.5,-0.9
196506,61.7,-1.7
196606,64.0,0.6
196706,67.0,3.6
196806,62.3,-1.1
196906,63.1,-0.3
197006,62.9,-0.5
197106,64.5,1.1
197206,61.2,-2.2
197306,66.2,2.8
197406,62.8,-0.6
197506,64.3,0.9
197606,66.3,2.9
197706,61.0,-2.4
197806,62.6,-0.8
197906,62.6,-0.8
198006,60.3,-3.1
198106,64.0,0.6
198206,60.7,-2.7
198306,64.4,1.0
198406,64.8,1.4
198506,59.5,-3.9
198606,61.6,-1.8
198706,65.2,1.8
198806,61.8,-1.6
198906,64.7,1.3
199006,63.9,0.5
199106,65.5,2.1
199206,61.2,-2.2
199306,62.4,-1.0
199406,65.8,2.4
199506,66.1,2.7
199606,65.3,1.9
199706,64.9,1.5
199806,63.7,0.3
199906,66.7,3.3
200006,63.5,0.1
200106,64.8,1.4
200206,64.3,0.9
200306,62.6,-0.8
200406,62.0,-1.4
200506,69.1,5.7
200606,64.4,1.0
200706,65.7,2.3
200806,66.6,3.2
200906,62.1,-1.3
201006,65.1,1.7
201106,65.1,1.7
201206,64.6,1.2
201306,64.0,0.6
201406,65.0,1.6
201506,63.0,-0.4
201606,64.1,0.7
201706,63.9,0.5
201806,63.4,0.0
201906,62.9,-0.5
202006,65.2,1.8
202106,67.1,3.7
