Oklahoma, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,66.3,4.7
195110,61.7,0.1
195210,58.5,-3.1
195310,63.3,1.7
195410,63.9,2.3
195510,61.8,0.2
195610,66.1,4.5
195710,57.7,-3.9
195810,61.6,0.0
195910,58.4,-3.2
196010,63.3,1.7
196110,61.7,0.1
196210,64.2,2.6
196310,69.6,8.0
196410,59.6,-2.0
196510,61.0,-0.6
196610,59.2,-2.4
196710,61.4,-0.2
196810,62.0,0.4
196910,58.1,-3.5
197010,58.0,-3.6
197110,63.3,1.7
197210,60.4,-1.2
197310,63.8,2.2
197410,62.0,0.4
197510,62.4,0.8
197610,54.8,-6.8
197710,62.2,0.6
197810,62.1,0.5
197910,64.4,2.8
198010,59.9,-1.7
198110,60.3,-1.3
198210,60.9,-0.7
198310,62.4,0.8
198410,60.6,-1.0
198510,60.9,-0.7
198610,60.1,-1.5
198710,58.7,-2.9
198810,58.5,-3.1
198910,62.7,1.1
199010,59.5,-2.1
199110,62.1,0.5
199210,62.0,0.4
199310,57.5,-4.1
199410,62.1,0.5
199510,61.2,-0.4
199610,60.7,-0.9
199710,61.3,-0.3
199810,63.6,2.0
199910,61.6,0.0
200010,63.8,2.2
200110,60.3,-1.3
200210,56.6,-5.0
200310,62.8,1.2
200410,63.5,1.9
200510,62.2,0.6
200610,60.7,-0.9
200710,64.1,2.5
200810,60.1,-1.5
200910,54.8,-6.8
201010,62.3,0.7
201110,61.8,0.2
201210,59.6,-2.0
201310,60.4,-1.2
201410,64.6,3.0
201510,63.4,1.8
201610,67.1,5.5
201710,62.0,0.4
201810,60.1,-1.5
201910,57.4,-4.2
202010,58.3,-3.3
202110,64.4,2.8
