Rhode Island, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,32.1,-4.0
195103,37.6,1.5
195203,35.6,-0.5
195303,38.2,2.1
195403,37.1,1.0
195503,36.1,0.0
195603,31.8,-4.3
195703,37.6,1.5
195803,36.8,0.7
195903,35.2,-0.9
196003,30.0,-6.1
196103,35.7,-0.4
196203,36.0,-0.1
196303,37.3,1.2
196403,36.9,0.8
196503,34.5,-1.6
196603,37.8,1.7
196703,32.4,-3.7
196803,37.5,1.4
196903,33.9,-2.2
197003,34.1,-2.0
197103,35.3,-0.8
197203,34.7,-1.4
197303,42.2,6.1
197403,37.6,1.5
197503,34.8,-1.3
197603,38.1,2.0
197703,41.4,5.3
197803,33.1,-3.0
197903,40.0,3.9
198003,35.6,-0.5
198103,36.7,0.6
198203,36.3,0.2
198303,39.1,3.0
198403,31.9,-4.2
198503,39.1,3.0
198603,38.2,2.1
198703,38.2,2.1
198803,37.8,1.7
198903,36.3,0.2
199003,38.7,2.6
199103,39.8,3.7
199203,34.5,-1.6
199303,34.2,-1.9
199403,36.8,0.7
199503,39.5,3.4
199603,34.2,-1.9
199703,36.7,0.6
199803,39.9,3.8
199903,38.8,2.7
200003,42.3,6.2
200103,35.3,-0.8
200203,39.3,3.2
200303,36.8,0.7
200403,37.9,1.8
200503,33.3,-2.8
200603,37.3,1.2
200703,36.7,0.6
200803,37.9,1.8
200903,37.2,1.1
201003,43.6,7.5
201103,38.0,1.9
201203,45.5,9.4
201303,37.1,1.0
201403,32.8,-3.3
201503,31.8,-4.3
201603,42.9,6.8
201703,34.1,-2.0
201803,37.3,1.2
201903,35.9,-0.2
202003,42.6,6.5
202103,40.4,4.3
