South Dakota, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195001,2.1,-12.9
195101,13.6,-1.4
195201,11.6,-3.4
195301,21.6,6.6
195401,11.6,-3.4
195501,18.9,3.9
195601,13.2,-1.8
195701,7.6,-7.4
195801,24.3,9.3
195901,12.5,-2.5
196001,15.5,0.5
196101,18.1,3.1
196201,13.8,-1.2
196301,7.6,-7.4
196401,22.3,7.3
196501,13.6,-1.4
196601,6.5,-8.5
196701,20.3,5.3
196801,15.7,0.7
196901,7.2,-7.8
197001,8.9,-6.1
197101,9.7,-5.3
197201,10.0,-5.0
197301,19.0,4.0
197401,15.8,0.8
197501,18.8,3.8
197601,16.6,1.6
197701,6.4,-8.6
197801,2.7,-12.3
197901,2.1,-12.9
198001,15.9,0.9
198101,25.0,10.0
198201,4.1,-10.9
198301,25.2,10.2
198401,19.8,4.8
198501,13.4,-1.6
198601,23.2,8.2
198701,25.8,10.8
198801,13.3,-1.7
198901,23.4,8.4
199001,28.5,13.5
199101,14.2,-0.8
199201,27.4,12.4
199301,13.0,-2.0
199401,9.8,-5.2
199501,19.2,4.2
199601,10.3,-4.7
199701,10.6,-4.4
199801,19.3,4.3
199901,17.6,2.6
200001,21.1,6.1
200101,22.7,7.7
200201,24.1,9.1
200301,19.8,4.8
200401,16.1,1.1
200501,16.8,1.8
200601,32.2,17.2
200701,20.1,5.1
200801,16.2,1.2
200901,16.7,1.7
201001,14.8,-0.2
201101,13.0,-2.0
201201,25.4,10.4
201301,19.4,4.4
201401,18.3,3.3
201501,22.7,7.7
201601,19.8,4.8
201701,16.5,1.5
201801,18.1,3.1
201901,18.0,3.0
202001,20.1,5.1
202101,26.5,11.5
