South Dakota, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,51.0,3.2
195110,45.1,-2.7
195210,45.7,-2.1
195310,53.8,6.0
195410,45.4,-2.4
195510,50.0,2.2
195610,52.7,4.9
195710,46.6,-1.2
195810,49.8,2.0
195910,42.6,-5.2
196010,49.3,1.5
196110,48.8,1.0
196210,50.7,2.9
196310,57.2,9.4
196410,48.6,0.8
196510,51.6,3.8
196610,47.6,-0.2
196710,47.6,-0.2
196810,49.0,1.2
196910,41.5,-6.3
197010,45.0,-2.8
197110,47.7,-0.1
197210,44.5,-3.3
197310,51.2,3.4
197410,50.5,2.7
197510,49.4,1.6
197610,43.6,-4.2
197710,47.5,-0.3
197810,48.6,0.8
197910,48.2,0.4
198010,46.6,-1.2
198110,46.9,-0.9
198210,46.5,-1.3
198310,47.9,0.1
198410,46.7,-1.1
198510,46.6,-1.2
198610,48.2,0.4
198710,44.8,-3.0
198810,46.5,-1.3
198910,48.7,0.9
199010,47.3,-0.5
199110,45.5,-2.3
199210,47.7,-0.1
199310,46.0,-1.8
199410,49.5,1.7
199510,46.4,-1.4
199610,46.9,-0.9
199710,49.7,1.9
199810,48.4,0.6
199910,47.8,0.0
200010,50.1,2.3
200110,47.5,-0.3
200210,39.5,-8.3
200310,51.8,4.0
200410,48.8,1.0
200510,49.2,1.4
200610,44.4,-3.4
200710,50.2,2.4
200810,47.2,-0.6
200910,39.5,-8.3
201010,51.6,3.8
201110,51.3,3.5
201210,45.6,-2.2
201310,44.3,-3.5
201410,50.3,2.5
201510,51.6,3.8
201610,51.6,3.8
201710,48.0,0.2
201810,43.2,-4.6
201910,40.2,-7.6
202010,41.2,-6.6
202110,51.1,3.3
