South Dakota, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,18.6,-1.3
195102,23.6,3.7
195202,23.0,3.1
195302,22.1,2.2
195402,36.4,16.5
195502,14.0,-5.9
195602,14.9,-5.0
195702,22.2,2.3
195802,16.9,-3.0
195902,13.9,-6.0
196002,14.4,-5.5
196102,25.3,5.4
196202,17.2,-2.7
196302,23.4,3.5
196402,25.2,5.3
196502,18.1,-1.8
196602,14.5,-5.4
196702,18.4,-1.5
196802,20.2,0.3
196902,19.3,-0.6
197002,23.8,3.9
197102,17.7,-2.2
197202,15.8,-4.1
197302,24.3,4.4
197402,25.2,5.3
197502,14.7,-5.2
197602,30.5,10.6
197702,28.0,8.1
197802,9.4,-10.5
197902,8.2,-11.7
198002,20.2,0.3
198102,25.6,5.7
198202,18.9,-1.0
198302,30.0,10.1
198402,30.4,10.5
198502,17.9,-2.0
198602,17.1,-2.8
198702,31.7,11.8
198802,18.6,-1.3
198902,10.4,-9.5
199002,25.1,5.2
199102,30.9,11.0
199202,31.3,11.4
199302,13.7,-6.2
199402,12.2,-7.7
199502,26.0,6.1
199602,23.1,3.2
199702,22.8,2.9
199802,32.7,12.8
199902,32.9,13.0
200002,30.1,10.2
200102,12.4,-7.5
200202,29.6,9.7
200302,18.8,-1.1
200402,22.9,3.0
200502,29.3,9.4
200602,23.3,3.4
200702,15.2,-4.7
200802,19.1,-0.8
200902,23.4,3.5
201002,14.6,-5.3
201102,16.3,-3.6
201202,25.7,5.8
201302,23.8,3.9
201402,13.9,-6.0
201502,19.5,-0.4
201602,31.2,11.3
201702,29.4,9.5
201802,11.6,-8.3
201902,6.1,-13.8
202002,23.5,3.6
202102,12.8,-7.1
