California, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,46.2,0.9
195102,44.5,-0.8
195202,44.0,-1.3
195302,45.3,0.0
195402,48.7,3.4
195502,41.7,-3.6
195602,40.7,-4.6
195702,48.1,2.8
195802,48.4,3.1
195902,43.5,-1.8
196002,44.0,-1.3
196102,47.3,2.0
196202,43.6,-1.7
196302,52.0,6.7
196402,44.0,-1.3
196502,45.7,0.4
196602,42.1,-3.2
196702,46.6,1.3
196802,50.1,4.8
196902,41.5,-3.8
197002,48.3,3.0
197102,45.1,-0.2
197202,46.9,1.6
197302,45.8,0.5
197402,44.4,-0.9
197502,43.8,-1.5
197602,46.0,0.7
197702,48.8,3.5
197802,46.5,1.2
197902,43.4,-1.9
198002,48.8,3.5
198102,47.7,2.4
198202,46.9,1.6
198302,46.8,1.5
198402,46.1,0.8
198502,45.2,-0.1
198602,48.8,3.5
198702,46.2,0.9
198802,48.5,3.2
198902,42.7,-2.6
199002,42.7,-2.6
199102,51.5,6.2
199202,49.1,3.8
199302,44.0,-1.3
199402,43.7,-1.6
199502,51.3,6.0
199602,48.8,3.5
199702,46.6,1.3
199802,43.6,-1.7
199902,44.9,-0.4
200002,47.2,1.9
200102,43.1,-2.2
200202,48.2,2.9
200302,45.7,0.4
200402,44.2,-1.1
200502,47.1,1.8
200602,47.7,2.4
200702,46.7,1.4
200802,45.8,0.5
200902,45.2,-0.1
201002,46.8,1.5
201102,43.4,-1.9
201202,46.5,1.2
201302,45.3,0.0
201402,49.8,4.5
201502,53.2,7.9
201602,51.8,6.5
201702,47.3,2.0
201802,46.6,1.3
201902,40.6,-4.7
202002,49.2,3.9
202102,47.4,2.1
