California, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,67.7,-0.8
195109,70.7,2.2
195209,70.6,2.1
195309,71.0,2.5
195409,67.4,-1.1
195509,69.3,0.8
195609,70.2,1.7
195709,69.3,0.8
195809,70.4,1.9
195909,67.2,-1.3
196009,70.8,2.3
196109,66.6,-1.9
196209,69.6,1.1
196309,70.7,2.2
196409,66.9,-1.6
196509,64.6,-3.9
196609,69.0,0.5
196709,70.8,2.3
196809,69.1,0.6
196909,70.9,2.4
197009,67.7,-0.8
197109,68.5,0.0
197209,66.6,-1.9
197309,67.5,-1.0
197409,71.8,3.3
197509,71.0,2.5
197609,68.0,-0.5
197709,67.8,-0.7
197809,66.7,-1.8
197909,72.2,3.7
198009,68.6,0.1
198109,70.4,1.9
198209,67.1,-1.4
198309,71.0,2.5
198409,72.2,3.7
198509,64.4,-4.1
198609,63.5,-5.0
198709,69.8,1.3
198809,69.4,0.9
198909,68.1,-0.4
199009,69.9,1.4
199109,72.2,3.7
199209,70.8,2.3
199309,69.5,1.0
199409,69.8,1.3
199509,71.2,2.7
199609,68.4,-0.1
199709,70.8,2.3
199809,69.2,0.7
199909,70.7,2.2
200009,69.1,0.6
200109,71.2,2.7
200209,70.9,2.4
200309,72.9,4.4
200409,69.4,0.9
200509,66.9,-1.6
200609,69.5,1.0
200709,67.5,-1.0
200809,71.8,3.3
200909,73.0,4.5
201009,70.4,1.9
201109,72.2,3.7
201209,73.1,4.6
201309,69.3,0.8
201409,72.2,3.7
201509,72.1,3.6
201609,69.5,1.0
201709,69.8,1.3
201809,71.1,2.6
201909,68.9,0.4
202009,74.0,5.5
202109,72.1,3.6
