Utah, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195004,46.3,0.8
195104,46.3,0.8
195204,46.4,0.9
195304,43.4,-2.1
195404,49.8,4.3
195504,42.6,-2.9
195604,45.7,0.2
195704,43.9,-1.6
195804,42.7,-2.8
195904,47.4,1.9
196004,46.8,1.3
196104,45.1,-0.4
196204,49.4,3.9
196304,42.3,-3.2
196404,43.2,-2.3
196504,45.1,-0.4
196604,45.8,0.3
196704,41.5,-4.0
196804,41.3,-4.2
196904,46.5,1.0
197004,39.7,-5.8
197104,44.7,-0.8
197204,45.8,0.3
197304,41.9,-3.6
197404,43.6,-1.9
197504,38.8,-6.7
197604,44.4,-1.1
197704,48.5,3.0
197804,45.8,0.3
197904,45.1,-0.4
198004,45.8,0.3
198104,49.6,4.1
198204,42.8,-2.7
198304,40.2,-5.3
198404,42.2,-3.3
198504,49.1,3.6
198604,45.9,0.4
198704,50.2,4.7
198804,47.3,1.8
198904,51.5,6.0
199004,50.0,4.5
199104,43.2,-2.3
199204,52.7,7.2
199304,45.3,-0.2
199404,47.5,2.0
199504,44.0,-1.5
199604,46.4,0.9
199704,42.8,-2.7
199804,43.4,-2.1
199904,41.7,-3.8
200004,51.0,5.5
200104,47.0,1.5
200204,49.7,4.2
200304,45.8,0.3
200404,48.0,2.5
200504,45.9,0.4
200604,48.4,2.9
200704,48.3,2.8
200804,43.1,-2.4
200904,45.3,-0.2
201004,44.7,-0.8
201104,43.5,-2.0
201204,49.6,4.1
201304,45.0,-0.5
201404,46.7,1.2
201504,47.1,1.6
201604,47.9,2.4
201704,46.0,0.5
201804,49.0,3.5
201904,48.6,3.1
202004,47.4,1.9
202104,47.4,1.9
