Vermont, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195002,14.7,-1.8
195102,21.2,4.7
195202,20.9,4.4
195302,22.8,6.3
195402,24.2,7.7
195502,18.5,2.0
195602,20.4,3.9
195702,22.0,5.5
195802,11.7,-4.8
195902,11.3,-5.2
196002,22.9,6.4
196102,18.5,2.0
196202,12.9,-3.6
196302,11.0,-5.5
196402,16.5,0.0
196502,16.1,-0.4
196602,17.6,1.1
196702,11.4,-5.1
196802,12.2,-4.3
196902,19.2,2.7
197002,17.4,0.9
197102,18.8,2.3
197202,14.7,-1.8
197302,15.4,-1.1
197402,15.1,-1.4
197502,18.8,2.3
197602,22.3,5.8
197702,19.1,2.6
197802,9.9,-6.6
197902,7.8,-8.7
198002,14.8,-1.7
198102,27.9,11.4
198202,17.2,0.7
198302,20.7,4.2
198402,26.9,10.4
198502,20.5,4.0
198602,15.2,-1.3
198702,13.7,-2.8
198802,18.4,1.9
198902,17.1,0.6
199002,20.7,4.2
199102,23.4,6.9
199202,18.5,2.0
199302,9.2,-7.3
199402,12.4,-4.1
199502,15.7,-0.8
199602,18.4,1.9
199702,23.2,6.7
199802,26.1,9.6
199902,22.2,5.7
200002,20.8,4.3
200102,19.5,3.0
200202,24.0,7.5
200302,14.2,-2.3
200402,17.5,1.0
200502,21.1,4.6
200602,21.3,4.8
200702,12.8,-3.7
200802,20.5,4.0
200902,20.6,4.1
201002,23.5,7.0
201102,17.6,1.1
201202,25.6,9.1
201302,21.5,5.0
201402,16.6,0.1
201502,5.3,-11.2
201602,23.9,7.4
201702,25.6,9.1
201802,25.5,9.0
201902,19.0,2.5
202002,22.4,5.9
202102,18.8,2.3
