Vermont, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195008,62.7,-0.7
195108,62.3,-1.1
195208,64.4,1.0
195308,62.7,-0.7
195408,60.8,-2.6
195508,67.6,4.2
195608,62.4,-1.0
195708,60.3,-3.1
195808,63.5,0.1
195908,67.2,3.8
196008,63.1,-0.3
196108,64.0,0.6
196208,63.1,-0.3
196308,60.4,-3.0
196408,59.0,-4.4
196508,63.4,0.0
196608,63.6,0.2
196708,64.0,0.6
196808,61.6,-1.8
196908,65.5,2.1
197008,65.0,1.6
197108,63.4,0.0
197208,62.0,-1.4
197308,68.0,4.6
197408,64.3,0.9
197508,64.4,1.0
197608,62.8,-0.6
197708,63.3,-0.1
197808,64.3,0.9
197908,62.9,-0.5
198008,65.4,2.0
198108,62.8,-0.6
198208,61.0,-2.4
198308,65.0,1.6
198408,66.8,3.4
198508,62.8,-0.6
198608,62.5,-0.9
198708,61.7,-1.7
198808,66.6,3.2
198908,63.3,-0.1
199008,65.8,2.4
199108,65.9,2.5
199208,62.5,-0.9
199308,65.7,2.3
199408,62.3,-1.1
199508,64.8,1.4
199608,64.8,1.4
199708,62.9,-0.5
199808,65.1,1.7
199908,63.6,0.2
200008,63.3,-0.1
200108,67.9,4.5
200208,66.8,3.4
200308,67.3,3.9
200408,64.5,1.1
200508,67.0,3.6
200608,63.4,0.0
200708,64.6,1.2
200808,63.1,-0.3
200908,66.2,2.8
201008,65.4,2.0
201108,65.8,2.4
201208,67.1,3.7
201308,64.1,0.7
201408,63.3,-0.1
201508,66.6,3.2
201608,67.5,4.1
201708,63.3,-0.1
201808,68.4,5.0
201908,64.6,1.2
202008,65.2,1.8
202108,68.7,5.3
