West Virginia, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,38.2,-3.9
195111,36.5,-5.6
195211,42.8,0.7
195311,40.9,-1.2
195411,40.0,-2.1
195511,39.2,-2.9
195611,41.5,-0.6
195711,43.2,1.1
195811,44.2,2.1
195911,40.4,-1.7
196011,42.4,0.3
196111,44.0,1.9
196211,40.3,-1.8
196311,43.4,1.3
196411,44.9,2.8
196511,43.2,1.1
196611,43.0,0.9
196711,38.1,-4.0
196811,43.3,1.2
196911,38.8,-3.3
197011,42.9,0.8
197111,41.3,-0.8
197211,40.5,-1.6
197311,43.8,1.7
197411,42.9,0.8
197511,45.8,3.7
197611,34.7,-7.4
197711,45.3,3.2
197811,45.3,3.2
197911,44.8,2.7
198011,39.5,-2.6
198111,41.3,-0.8
198211,45.3,3.2
198311,43.2,1.1
198411,39.6,-2.5
198511,50.6,8.5
198611,43.6,1.5
198711,45.2,3.1
198811,43.5,1.4
198911,42.0,-0.1
199011,46.2,4.1
199111,41.2,-0.9
199211,43.9,1.8
199311,43.0,0.9
199411,47.8,5.7
199511,38.2,-3.9
199611,37.2,-4.9
199711,39.7,-2.4
199811,44.0,1.9
199911,47.6,5.5
200011,40.4,-1.7
200111,47.9,5.8
200211,41.2,-0.9
200311,47.8,5.7
200411,46.9,4.8
200511,45.0,2.9
200611,45.4,3.3
200711,42.9,0.8
200811,40.0,-2.1
200911,46.9,4.8
201011,43.2,1.1
201111,46.7,4.6
201211,39.5,-2.6
201311,39.9,-2.2
201411,37.8,-4.3
201511,48.3,6.2
201611,45.6,3.5
201711,43.2,1.1
201811,40.0,-2.1
201911,39.3,-2.8
202011,47.5,5.4
202111,40.9,-1.2
