West Virginia, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195007,69.5,-2.4
195107,72.1,0.2
195207,74.4,2.5
195307,73.0,1.1
195407,71.8,-0.1
195507,75.4,3.5
195607,70.9,-1.0
195707,71.6,-0.3
195807,72.9,1.0
195907,72.6,0.7
196007,69.8,-2.1
196107,70.5,-1.4
196207,69.3,-2.6
196307,69.2,-2.7
196407,71.6,-0.3
196507,70.2,-1.7
196607,72.9,1.0
196707,69.1,-2.8
196807,71.7,-0.2
196907,73.3,1.4
197007,71.3,-0.6
197107,69.8,-2.1
197207,70.7,-1.2
197307,71.7,-0.2
197407,70.4,-1.5
197507,71.0,-0.9
197607,69.0,-2.9
197707,73.1,1.2
197807,70.9,-1.0
197907,69.5,-2.4
198007,72.9,1.0
198107,71.6,-0.3
198207,72.0,0.1
198307,72.5,0.6
198407,69.2,-2.7
198507,70.8,-1.1
198607,73.6,1.7
198707,73.8,1.9
198807,73.7,1.8
198907,72.2,0.3
199007,71.5,-0.4
199107,74.0,2.1
199207,72.1,0.2
199307,74.6,2.7
199407,72.7,0.8
199507,73.1,1.2
199607,69.3,-2.6
199707,71.8,-0.1
199807,71.6,-0.3
199907,75.3,3.4
200007,69.0,-2.9
200107,69.4,-2.5
200207,73.6,1.7
200307,71.2,-0.7
200407,71.1,-0.8
200507,74.1,2.2
200607,72.3,0.4
200707,69.7,-2.2
200807,70.6,-1.3
200907,67.8,-4.1
201007,73.8,1.9
201107,74.9,3.0
201207,75.3,3.4
201307,72.4,0.5
201407,69.6,-2.3
201507,72.1,0.2
201607,73.7,1.8
201707,72.4,0.5
201807,72.5,0.6
201907,74.3,2.4
202007,75.6,3.7
202107,72.1,0.2
