Wyoming, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195003,27.0,-2.1
195103,24.7,-4.4
195203,22.9,-6.2
195303,32.4,3.3
195403,24.8,-4.3
195503,22.7,-6.4
195603,28.6,-0.5
195703,30.4,1.3
195803,25.4,-3.7
195903,29.1,0.0
196003,29.6,0.5
196103,31.9,2.8
196203,25.4,-3.7
196303,30.5,1.4
196403,22.5,-6.6
196503,18.6,-10.5
196603,31.2,2.1
196703,32.1,3.0
196803,33.1,4.0
196903,23.5,-5.6
197003,25.8,-3.3
197103,27.7,-1.4
197203,35.6,6.5
197303,28.1,-1.0
197403,32.5,3.4
197503,27.7,-1.4
197603,26.8,-2.3
197703,27.8,-1.3
197803,32.7,3.6
197903,30.6,1.5
198003,28.1,-1.0
198103,34.1,5.0
198203,31.0,1.9
198303,32.0,2.9
198403,29.3,0.2
198503,29.3,0.2
198603,38.4,9.3
198703,29.9,0.8
198803,29.2,0.1
198903,32.2,3.1
199003,32.0,2.9
199103,31.8,2.7
199203,36.7,7.6
199303,32.0,2.9
199403,34.4,5.3
199503,31.3,2.2
199603,27.9,-1.2
199703,32.9,3.8
199803,28.4,-0.7
199903,34.4,5.3
200003,33.4,4.3
200103,32.5,3.4
200203,24.8,-4.3
200303,32.0,2.9
200403,36.5,7.4
200503,32.5,3.4
200603,30.2,1.1
200703,37.6,8.5
200803,28.4,-0.7
200903,30.8,1.7
201003,34.2,5.1
201103,32.0,2.9
201203,39.4,10.3
201303,31.3,2.2
201403,32.3,3.2
201503,37.7,8.6
201603,34.5,5.4
201703,38.4,9.3
201803,32.3,3.2
201903,27.0,-2.1
202003,33.1,4.0
202103,32.1,3.0
