Connecticut, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195010,53.2,2.2
195110,52.4,1.4
195210,48.6,-2.4
195310,52.8,1.8
195410,55.3,4.3
195510,52.5,1.5
195610,51.1,0.1
195710,49.9,-1.1
195810,49.1,-1.9
195910,52.8,1.8
196010,50.6,-0.4
196110,53.8,2.8
196210,50.5,-0.5
196310,55.1,4.1
196410,49.2,-1.8
196510,49.5,-1.5
196610,49.4,-1.6
196710,51.2,0.2
196810,53.6,2.6
196910,50.8,-0.2
197010,52.9,1.9
197110,56.4,5.4
197210,47.0,-4.0
197310,52.0,1.0
197410,46.5,-4.5
197510,53.3,2.3
197610,47.6,-3.4
197710,50.0,-1.0
197810,49.5,-1.5
197910,50.3,-0.7
198010,48.8,-2.2
198110,47.8,-3.2
198210,50.1,-0.9
198310,51.1,0.1
198410,54.2,3.2
198510,51.8,0.8
198610,51.0,0.0
198710,48.2,-2.8
198810,46.6,-4.4
198910,51.8,0.8
199010,55.9,4.9
199110,53.0,2.0
199210,48.1,-2.9
199310,48.8,-2.2
199410,50.7,-0.3
199510,54.5,3.5
199610,50.3,-0.7
199710,50.0,-1.0
199810,51.8,0.8
199910,50.1,-0.9
200010,51.1,0.1
200110,52.7,1.7
200210,49.6,-1.4
200310,49.3,-1.7
200410,50.9,-0.1
200510,52.7,1.7
200610,51.0,0.0
200710,57.8,6.8
200810,50.0,-1.0
200910,49.5,-1.5
201010,52.8,1.8
201110,53.4,2.4
201210,54.7,3.7
201310,53.4,2.4
201410,54.1,3.1
201510,51.4,0.4
201610,53.5,2.5
201710,58.6,7.6
201810,52.3,1.3
201910,53.6,2.6
202010,53.2,2.2
202110,56.8,5.8
