Connecticut, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195007,69.4,-1.3
195107,70.8,0.1
195207,73.7,3.0
195307,70.6,-0.1
195407,69.1,-1.6
195507,74.9,4.2
195607,68.3,-2.4
195707,70.2,-0.5
195807,70.4,-0.3
195907,71.3,0.6
196007,68.6,-2.1
196107,70.6,-0.1
196207,66.9,-3.8
196307,70.7,0.0
196407,70.8,0.1
196507,68.8,-1.9
196607,71.7,1.0
196707,71.0,0.3
196807,71.8,1.1
196907,69.1,-1.6
197007,71.3,0.6
197107,70.1,-0.6
197207,71.4,0.7
197307,71.5,0.8
197407,70.6,-0.1
197507,71.8,1.1
197607,69.2,-1.5
197707,71.1,0.4
197807,68.9,-1.8
197907,71.8,1.1
198007,72.0,1.3
198107,72.2,1.5
198207,71.0,0.3
198307,72.1,1.4
198407,69.6,-1.1
198507,70.5,-0.2
198607,70.2,-0.5
198707,72.3,1.6
198807,73.1,2.4
198907,70.4,-0.3
199007,71.5,0.8
199107,71.6,0.9
199207,68.4,-2.3
199307,72.5,1.8
199407,75.0,4.3
199507,73.8,3.1
199607,69.4,-1.3
199707,70.8,0.1
199807,71.2,0.5
199907,74.8,4.1
200007,67.8,-2.9
200107,68.2,-2.5
200207,72.8,2.1
200307,71.5,0.8
200407,70.0,-0.7
200507,72.4,1.7
200607,74.1,3.4
200707,70.9,0.2
200807,73.3,2.6
200907,68.7,-2.0
201007,75.1,4.4
201107,74.1,3.4
201207,74.1,3.4
201307,75.9,5.2
201407,71.9,1.2
201507,72.2,1.5
201607,74.1,3.4
201707,71.5,0.8
201807,74.0,3.3
201907,74.9,4.2
202007,75.6,4.9
202107,71.1,0.4
