Connecticut, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195009,58.3,-3.2
195109,61.1,-0.4
195209,62.2,0.7
195309,62.8,1.3
195409,59.9,-1.6
195509,60.8,-0.7
195609,58.1,-3.4
195709,62.2,0.7
195809,60.8,-0.7
195909,64.9,3.4
196009,61.1,-0.4
196109,67.7,6.2
196209,58.6,-2.9
196309,57.9,-3.6
196409,61.0,-0.5
196509,62.1,0.6
196609,59.8,-1.7
196709,60.6,-0.9
196809,63.0,1.5
196909,62.1,0.6
197009,62.6,1.1
197109,65.0,3.5
197209,62.6,1.1
197309,61.8,0.3
197409,60.7,-0.8
197509,58.5,-3.0
197609,59.8,-1.7
197709,61.8,0.3
197809,58.8,-2.7
197909,61.2,-0.3
198009,63.4,1.9
198109,60.6,-0.9
198209,61.7,0.2
198309,64.4,2.9
198409,58.8,-2.7
198509,62.6,1.1
198609,60.2,-1.3
198709,61.2,-0.3
198809,60.4,-1.1
198909,62.3,0.8
199009,61.3,-0.2
199109,60.8,-0.7
199209,61.2,-0.3
199309,61.8,0.3
199409,61.5,0.0
199509,60.5,-1.0
199609,62.3,0.8
199709,61.6,0.1
199809,64.2,2.7
199909,64.6,3.1
200009,61.2,-0.3
200109,62.5,1.0
200209,64.8,3.3
200309,63.3,1.8
200409,63.8,2.3
200509,66.0,4.5
200609,61.2,-0.3
200709,64.6,3.1
200809,63.3,1.8
200909,61.0,-0.5
201009,65.6,4.1
201109,66.4,4.9
201209,63.3,1.8
201309,61.4,-0.1
201409,63.6,2.1
201509,67.8,6.3
201609,66.2,4.7
201709,66.0,4.5
201809,66.1,4.6
201909,63.2,1.7
202009,63.5,2.0
202109,65.2,3.7
