Florida, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195006,81.1,1.6
195106,80.0,0.5
195206,82.1,2.6
195306,80.3,0.8
195406,80.2,0.7
195506,77.9,-1.6
195606,78.7,-0.8
195706,79.9,0.4
195806,80.4,0.9
195906,79.5,0.0
196006,78.7,-0.8
196106,78.5,-1.0
196206,79.2,-0.3
196306,79.8,0.3
196406,80.3,0.8
196506,77.8,-1.7
196606,77.1,-2.4
196706,78.7,-0.8
196806,79.1,-0.4
196906,80.9,1.4
197006,78.8,-0.7
197106,79.4,-0.1
197206,78.6,-0.9
197306,79.7,0.2
197406,78.4,-1.1
197506,79.8,0.3
197606,77.6,-1.9
197706,81.2,1.7
197806,80.3,0.8
197906,79.2,-0.3
198006,79.8,0.3
198106,82.2,2.7
198206,80.5,1.0
198306,78.8,-0.7
198406,78.3,-1.2
198506,81.1,1.6
198606,80.6,1.1
198706,80.7,1.2
198806,79.2,-0.3
198906,80.1,0.6
199006,80.7,1.2
199106,79.9,0.4
199206,79.9,0.4
199306,80.4,0.9
199406,80.5,1.0
199506,79.2,-0.3
199606,79.2,-0.3
199706,78.7,-0.8
199806,84.1,4.6
199906,79.3,-0.2
200006,80.5,1.0
200106,80.1,0.6
200206,79.6,0.1
200306,80.1,0.6
200406,81.3,1.8
200506,79.9,0.4
200606,80.5,1.0
200706,80.0,0.5
200806,80.9,1.4
200906,81.9,2.4
201006,83.1,3.6
201106,82.1,2.6
201206,79.3,-0.2
201306,81.1,1.6
201406,80.3,0.8
201506,81.7,2.2
201606,81.9,2.4
201706,80.2,0.7
201806,81.5,2.0
201906,82.3,2.8
202006,81.0,1.5
202106,80.7,1.2
