Georgia, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195011,49.6,-4.6
195111,50.2,-4.0
195211,53.6,-0.6
195311,52.6,-1.6
195411,50.8,-3.4
195511,52.6,-1.6
195611,52.2,-2.0
195711,55.8,1.6
195811,57.7,3.5
195911,53.3,-0.9
196011,55.1,0.9
196111,57.9,3.7
196211,51.6,-2.6
196311,53.5,-0.7
196411,57.1,2.9
196511,56.2,2.0
196611,54.0,-0.2
196711,51.6,-2.6
196811,51.9,-2.3
196911,51.3,-2.9
197011,50.7,-3.5
197111,53.6,-0.6
197211,53.6,-0.6
197311,58.1,3.9
197411,53.6,-0.6
197511,55.7,1.5
197611,47.7,-6.5
197711,56.9,2.7
197811,59.8,5.6
197911,56.1,1.9
198011,52.8,-1.4
198111,54.4,0.2
198211,57.0,2.8
198311,53.6,-0.6
198411,52.1,-2.1
198511,63.2,9.0
198611,60.7,6.5
198711,56.8,2.6
198811,56.7,2.5
198911,55.6,1.4
199011,57.0,2.8
199111,52.2,-2.0
199211,54.8,0.6
199311,53.8,-0.4
199411,59.0,4.8
199511,50.9,-3.3
199611,52.8,-1.4
199711,51.4,-2.8
199811,59.6,5.4
199911,57.7,3.5
200011,53.6,-0.6
200111,59.9,5.7
200211,52.3,-1.9
200311,59.4,5.2
200411,57.9,3.7
200511,57.0,2.8
200611,54.2,0.0
200711,54.0,-0.2
200811,51.4,-2.8
200911,55.6,1.4
201011,54.8,0.6
201111,56.2,2.0
201211,52.6,-1.6
201311,53.2,-1.0
201411,49.8,-4.4
201511,59.8,5.6
201611,58.0,3.8
201711,56.4,2.2
201811,53.2,-1.0
201911,52.8,-1.4
202011,60.4,6.2
202111,52.6,-1.6
