Georgia, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
195005,73.3,2.3
195105,69.8,-1.2
195205,71.9,0.9
195305,74.8,3.8
195405,66.4,-4.6
195505,73.0,2.0
195605,72.7,1.7
195705,71.6,0.6
195805,70.9,-0.1
195905,73.1,2.1
196005,68.9,-2.1
196105,68.0,-3.0
196205,75.5,4.5
196305,70.8,-0.2
196405,70.9,-0.1
196505,73.2,2.2
196605,69.4,-1.6
196705,69.2,-1.8
196805,69.1,-1.9
196905,69.6,-1.4
197005,70.9,-0.1
197105,67.9,-3.1
197205,68.2,-2.8
197305,68.2,-2.8
197405,71.9,0.9
197505,72.9,1.9
197605,67.1,-3.9
197705,71.7,0.7
197805,70.3,-0.7
197905,70.2,-0.8
198005,70.4,-0.6
198105,68.1,-2.9
198205,71.7,0.7
198305,69.6,-1.4
198405,69.4,-1.6
198505,70.9,-0.1
198605,71.7,0.7
198705,72.6,1.6
198805,68.5,-2.5
198905,68.5,-2.5
199005,70.7,-0.3
199105,73.8,2.8
199205,67.8,-3.2
199305,69.7,-1.3
199405,68.8,-2.2
199505,72.7,1.7
199605,73.1,2.1
199705,67.1,-3.9
199805,74.1,3.1
199905,69.5,-1.5
200005,73.9,2.9
200105,70.8,-0.2
200205,70.2,-0.8
200305,71.7,0.7
200405,73.6,2.6
200505,68.3,-2.7
200605,70.4,-0.6
200705,70.5,-0.5
200805,70.3,-0.7
200905,71.3,0.3
201005,73.6,2.6
201105,71.3,0.3
201205,73.5,2.5
201305,68.4,-2.6
201405,71.2,0.2
201505,72.4,1.4
201605,70.8,-0.2
201705,71.4,0.4
201805,73.7,2.7
201905,75.7,4.7
202005,69.4,-1.6
202105,69.4,-1.6
